country,continent,population,cases_100k,deaths_100k,recoveries_100k,active_cases_100k,tests_100k
Philippines,Oceania,112508994.0,3620.56,58.49,3553.54,8.54,30524.97
South Africa,Africa,60756135.0,6675.81,168.86,6439.69,67.26,43572.64
Romania,Oceania,19031335.0,17471.22,355.08,17088.15,27.99,138665.98
Denmark,Europa,5834950.0,54383.45,139.59,54222.38,21.47,2213296.67
Hong Kong,Asia,7604299.0,37837.54,175.66,33000.85,4661.03,1001063.61
Sweden,Europa,10218971.0,26357.43,227.48,26010.83,119.12,189946.0
Serbia,Europa,8653016.0,28558.81,204.56,28204.35,149.89,140465.31
Iraq,Asia,42164965.0,5847.38,60.18,5785.6,1.6,46352.35
Singapore,Asia,5943546.0,37302.82,28.97,36080.99,1192.86,416530.23
Hungary,Europa,9606259.0,22823.11,506.72,22275.65,40.73,118615.96
New Zealand,Asia,4898203.0,44554.2,77.19,44288.08,188.93,157417.67
Bangladesh,Asia,167885689.0,1213.66,17.54,1186.93,9.18,9081.78
Slovakia,Europa,5460193.0,34081.08,383.61,33685.79,11.68,135357.5
Georgia,Europa,3968738.0,45711.76,426.48,44763.55,521.73,426333.99
Jordan,Asia,10300869.0,16959.71,137.1,16804.48,18.13,166994.5
Ireland,Europa,5020199.0,33868.24,168.56,33568.05,131.63,258640.28
Pakistan,Asia,229488994.0,686.88,13.35,670.48,3.04,13321.28
Norway,Europa,5511370.0,26814.68,92.75,26705.43,16.49,199631.49
Finland,Europa,5554960.0,26257.96,155.52,26059.04,43.4,216341.99
Kazakhstan,Asia,19205043.0,7320.56,71.31,7201.34,47.91,60270.69
Slovenia,Oceania,2078034.0,63610.7,339.55,63096.13,175.02,135938.25
Lithuania,Europa,2661708.0,48723.04,358.6,48184.4,180.03,388876.99
Bulgaria,Europa,6844597.0,18926.26,557.8,18328.19,40.27,160531.72
Morocco,Africa,37772756.0,3368.14,43.14,3324.83,0.17,34232.96
Croatia,Europa,4059286.0,31226.67,440.4,30773.1,13.18,134905.08
Lebanon,Asia,6684849.0,18379.46,161.41,16269.43,1948.62,71738.02
Guatemala,Oceania,18584039.0,6607.03,108.19,6481.61,17.23,36363.96
Bolivia,America do Sul,11992656.0,9905.95,186.33,9557.04,162.57,22558.99
Costa Rica,Oceania,5182354.0,22888.75,176.72,16608.49,6103.54,89915.84
Tunisia,Africa,12046656.0,9549.17,243.29,17543.05,68339.73,41483.49
Cuba,Oceania,11305652.0,9839.66,75.45,9763.25,0.96,126471.95
Ecuador,America do Sul,18113361.0,5803.67,198.43,5585.28,19.96,17017.29
UAE,Oceania,10081785.0,10408.96,23.29,10243.57,142.1,1970274.17
Uruguay,America do Sul,3496016.0,29539.62,217.65,29288.74,33.24,174908.3
Panama,America do Norte,4446964.0,23155.15,193.3,22941.63,20.22,168092.57
Mongolia,Oceania,3378078.0,29835.63,64.5,29770.12,1.01,119300.03
Nepal,Asia,30225582.0,3312.1,39.77,3272.27,0.06,19863.78
Belarus,Europa,9432800.0,10538.09,75.46,10448.56,14.07,144672.22
Latvia,Europa,1848837.0,52755.06,336.32,52402.13,16.61,425041.2
Saudi Arabia,Oceania,35844909.0,2309.85,26.71,2275.16,7.98,125674.77
Azerbaijan,Asia,10300205.0,8038.13,97.91,7938.23,1.99,72693.21
Paraguay,America do Sul,7305843.0,11035.77,271.29,17543.05,68339.73,36375.08
Bahrain,Asia,1783983.0,39263.38,86.49,39148.36,28.53,598797.41
Sri Lanka,Asia,21575842.0,3114.54,77.99,3036.54,0.01,30061.94
Kuwait,Asia,4380326.0,15132.62,58.67,15072.78,1.16,193039.13
Dominican Republic,America do Norte,11056370.0,5970.27,39.65,5831.8,98.82,33835.05
Cyprus,Europa,1223387.0,52531.46,105.2,51776.09,650.16,787985.98
